2025-10-08 21:06:47    绿光---红外光---红光
-2.435426E+08 7.772433E+08 5.789491E+07
1.795486E+09 -6.807633E+07 1.9096E+07
8.223006E+08 -7.260721E+08 -1.077481E+09
8.221533E+08 -1.750662E+09 -9.416783E+08
1.572921E+09 -6.98679E+08 7.09801E+07
1.087231E+07 -5.889199E+08 4.353792E+07
-2.096895E+09 6.549089E+08 1.357717E+07
-1.207799E+09 -7.241718E+08 -7.375391E+08
4.698094E+08 -2.006253E+09 7.520893E+08
4.667497E+08 -5.762579E+08 4.922598E+07
3.548011E+08 1.901122E+09 2.234803E+07
-6.206197E+08 -3.006116E+08 5320660
1.979773E+09 -6.433665E+08 -7.090281E+08
1.577077E+09 1.363608E+09 8.146637E+07
-2.544737E+08 -1.087177E+09 2.028314E+07
5.100577E+08 7.590919E+08 8465152
-1.862217E+09 -6.520668E+08 2024400
-1.862248E+09 -5.080349E+08 -7.7502E+08
6.711221E+07 1.308623E+09 -1.160932E+09
1.010893E+08 8.804106E+08 5516032
6.6059E+08 2.544784E+08 3703808
8.556613E+08 -2.323226E+08 1090568
5.704412E+08 -8.30341E+08 1.5225E+08
1.006638E+09 1.928462E+09 -8.924447E+08
-1.324853E+09 1.322779E+09 8517888
6.44534E+08 4.103886E+08 5724928
1.17478E+08 1.361463E+09 1848584
8.391074E+07 -8.065514E+08 1.441889E+08
-8.220762E+08 -1.475019E+09 1.070723E+09
1.863127E+09 1.649017E+09 1.096013E+07
6.533816E+08 4.769098E+08 6625024
8.221262E+08 6.956616E+07 1759507
-1.17438E+09 -8.062237E+08 3.194318E+08
8.724216E+08 -1.851785E+09 -2.066931E+09
3.870946E+08 1.425015E+09 8787456
6.48007E+08 3.645811E+08 5270016
6.375664E+08 5.291464E+07 1348877
-8.22064E+08 -7.844003E+08 1.546754E+08
-1.241508E+09 -1.924333E+09 -6.237624E+08
6.208336E+08 2.074411E+09 1.208038E+07
7.342535E+08 6.541802E+08 9062656
-5.028E+07 -2.127828E+09 2721276
-5.368337E+08 -7.660501E+08 -1.177571E+08
-1.526716E+09 -7.256145E+08 -1.294824E+09
-5.206187E+08 -1.723597E+09 1.395277E+07
7.064004E+08 7.747651E+08 1.024589E+07
1.644222E+09 -1.104522E+09 3102970
-1.543463E+09 -7.688026E+08 -1.108758E+08
1.677845E+08 -7.911505E+08 -1.764515E+09
1.375015E+09 -1.72281E+09 1.308493E+07
7.886492E+08 7.748947E+08 9730816
1.828765E+09 -2.150037E+08 2839539
-3.019544E+08 -7.107377E+08 -2.163223E+08
-1.241504E+09 -1.689321E+09 4.838986E+08
1.626523E+09 1.946026E+09 9079808
8.173548E+08 5.51613E+08 6876160
-5.032854E+08 1.748038E+09 1930481
-1.023386E+09 -6.284901E+08 -2.534807E+08
9.227533E+08 1.435894E+09 2.662548E+08
9.216932E+08 1.31498E+09 5327360
8.716861E+08 3.972096E+08 5017856
-2.097132E+09 8.733974E+07 1510896
1.241533E+09 -5.001707E+08 -2.751723E+08
-2.348753E+08 1.203634E+09 -1.142792E+09
1.659849E+09 1.163198E+09 4477696
8.882018E+08 3.425523E+08 4339200
1.627406E+09 -8.353999E+08 1274349
-1.124057E+09 -4.944691E+08 -3.122654E+08
1.879053E+09 8.427275E+08 1.29004E+09
-1.108553E+09 9.169142E+08 3229184
8.950182E+08 2.76819E+08 3533824
2.181162E+08 -1.942628E+09 1063404
-1.224723E+09 -4.468244E+08 -3.287803E+08
1.056969E+09 7.650018E+08 1.994755E+09
-2.697177E+08 8.214938E+08 2809856
9.24182E+08 2.441165E+08 3122944
-4.194198E+08 -1.556662E+09 923884
-1.761596E+09 -4.382392E+08 -3.306151E+08
1.34218E+09 5.735711E+08 -4.211238E+08
-7.562329E+08 7.102792E+08 2321920
9.038004E+08 2.280602E+08 2945792
-2.147474E+09 5.236075E+08 990700
-1.979699E+09 -4.312268E+08 -3.460165E+08
6.20762E+08 1.059586E+09 3.170642E+08
7.032203E+08 1.650655E+09 7002368
9.060286E+08 7.162375E+08 9131776
6.715099E+07 -1.690964E+09 4023019
-1.996437E+09 -4.390254E+08 -3.207198E+08
-1.895792E+09 -1.72897E+09 1.792814E+09
-1.124831E+09 6.265256E+07 5.039616E+07
6.973574E+08 -1.628768E+09 3.578214E+07
2.047033E+09 1.092965E+09 1.074841E+07
-1.123931E+09 -9.59053E+08 1.042754E+08
-1.895784E+09 1.337394E+09 -1.933149E+09
